DO ID	DO term	OMIM ID	DO Exact Synonym
"DOID:11726"	"Emery-Dreifuss muscular dystrophy"	181350, 300696, 310300, 612998, 612999, 614302	EDMD
"DOID:898"	"polycystic kidney disease"	173900, 263200, 600666, 613095	Congenital biliary ectasias, POLYCYSTIC KIDNEY AND HEPATIC DISEASE 1
"DOID:11723"	"Duchenne muscular dystrophy"	310200	Muscular dystrophy, Duchenne
"DOID:12858"	"Huntington's disease"	143100	HD, Huntington disease, Huntington's chorea
"DOID:543"	"dystonia"		dystonic disease
"DOID:14330"	"Parkinson's disease"	168600, 260300, 300557, 556500, 602404, 605543, 606324, 606852, 607060, 607688, 610297, 612953, 613164, 613643, 614203, 614251, 615528, 615530	Parkinson disease, paralysis agitans
"DOID:1441"	"autosomal dominant cerebellar ataxia"		spinocerebellar ataxia
"DOID:14768"	"Saethre-Chotzen syndrome"	101400	
"DOID:5688"	"Werner syndrome"	277700	WS, Werner's syndrome, adult premature ageing syndrome, adult progeria
"DOID:0050776"	"non-syndromic X-linked intellectual disability"	300046, 300047, 300062, 300114, 300115, 300143, 300210, 300271, 300324, 300355, 300372, 300387, 300428, 300433, 300436, 300454, 300498, 300504, 300505, 300518, 300551, 300558, 300577, 300659, 300716, 300802, 300803, 300844, 300848, 300849, 300850, 300851, 300852, 300912, 300919, 300923, 309530, 309549	MENTAL RETARDATION, X-LINKED 95, MRX, non-specific X-linked mental retardation
"DOID:0050453"	"lissencephaly"	257320, 300067, 300215, 607432, 611603, 614019, 615191	
"DOID:2476"	"hereditary spastic paraplegia"	182600, 182601, 270685, 270700, 270750, 270800, 275900, 300266, 300750, 312920, 600146, 600363, 601162, 603563, 604187, 604360, 604805, 605229, 605280, 607152, 607259, 607584, 608220, 609041, 609195, 609340, 609727, 610244, 610250, 610357, 611225, 611252, 611945, 612020, 612319, 612335, 612539, 612936, 613096, 613162, 613206, 613364, 613647, 613744, 614066, 614067, 614409, 614898, 615030, 615031, 615033, 615035, 615043, 615625, 615658, 615683, 615685, 615686	HSMN V, familial spastic paraplegia
"DOID:680"	"tauopathy"		
"DOID:10907"	"microcephaly"	251200, 604321, 604804, 608393, 608716, 612703	Microcephalus, microencephaly
"DOID:423"	"myopathy"		
"DOID:0050700"	"cardiomyopathy"		Cardiomyopathies
"DOID:0050779"	"hydrolethalus syndrome"	236680, 614120	Salonen-Herva-Norio syndrome
"DOID:11727"	"facioscapulohumeral muscular dystrophy"	158900, 158901	Landouzy Dejerine muscular dystrophy, Landouzy-Dejerine muscular dystrophy, Muscular dystrophy, Landouzy-Dejerine
"DOID:4428"	"dyslexia"	127700, 300509, 600202, 604254, 606616, 606896, 608995	
"DOID:1059"	"intellectual disability"		MENTAL RETARDATION, AUTOSOMAL RECESSIVE 15
"DOID:10652"	"Alzheimer's disease"	104300, 104310, 300756, 502500, 602096, 604154, 605526, 606187, 606889, 607116, 607822, 608907, 609636, 609790, 611073, 611152, 611154, 611155, 615080, 615590, 615711	AD, Alzheimer disease, Alzheimers dementia
"DOID:1289"	"neurodegenerative disease"		Neurodegenerative disease, degenerative disease
"DOID:2717"	"Bloom syndrome"	210900	Bloom-Torre-Machacek syndrome, Congenital Telangiectatic Erythema syndrome
"DOID:4501"	"orofaciodigital syndrome"		
"DOID:4"	"disease"		
"DOID:0014667"	"disease of metabolism"		metabolic disease
"DOID:0050117"	"disease by infectious agent"		infectious disease
"DOID:0080015"	"physical disorder"		
"DOID:14566"	"disease of cellular proliferation"		cell process disease
"DOID:150"	"disease of mental health"		
"DOID:225"	"syndrome"		
"DOID:630"	"genetic disease"		
"DOID:7"	"disease of anatomical entity"		
"DOID:863"	"nervous system disease"		
"DOID:1579"	"respiratory system disease"		
"DOID:1287"	"cardiovascular system disease"		disease of subdivision of hemolymphoid system
"DOID:2914"	"immune system disease"		
"DOID:0060118"	"thoracic disease"		
"DOID:15"	"reproductive system disease"		genital system disease
"DOID:16"	"integumentary system disease"		
"DOID:17"	"musculoskeletal system disease"		
"DOID:18"	"urinary system disease"		Non-neoplastic urinary tract disease, urinary tract disease
"DOID:28"	"endocrine system disease"		
"DOID:77"	"gastrointestinal system disease"		GIT disease, Gastroenteropathy, alimentary system disease, digestive system disorder, gastrointestinal disease, gastrointestinal disorder
"DOID:229"	"female reproductive system disease"		
"DOID:48"	"male reproductive system disease"		
"DOID:5223"	"infertility"		
"DOID:37"	"skin disease"		Dermatitis due to Unspecified Substance taken Internally, Dermatitis due to substances taken internally (disorder), Dermatitis due to substances taken internally, Dermatitis due to unspecified substance taken internally (disorder), Dermatitis due to unspecified substance taken internally, Genodermatosis (disorder), Genodermatosis, NOS, genetic skin disease, skin and subcutaneous tissue disease
"DOID:4123"	"nail disease"		
"DOID:421"	"hair disease"		
"DOID:65"	"connective tissue disease"		connective tissue disorder, disorder of connective tissue
"DOID:0060564"	"spinal disease"		
"DOID:0080000"	"muscular disease"		
"DOID:557"	"kidney disease"		nephropathy
